                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 0.5062,                0.46661,                  1.008,                0.95599,                0.96121,                0.97515,                0.84491,                0.60111,                0.31596,                 1.0369,               0.006271,               0.006271,               0.006271
                    115,                0.50698,                 0.4732,                 1.0031,                0.96817,                0.95302,                0.97775,                0.84801,                0.58354,                 0.2989,                 1.0205,               0.006238,               0.006238,               0.006238
                    116,                0.51198,                0.47558,                 1.0109,                0.98368,                0.94596,                0.97878,                0.84795,                0.58499,                0.30527,                 1.0393,               0.006205,               0.006205,               0.006205
                    117,                0.50322,                0.47732,                  1.009,                 0.9816,                0.94999,                0.97375,                0.84434,                0.58917,                 0.2949,                  1.055,               0.006172,               0.006172,               0.006172
                    118,                0.49919,                0.46629,                0.99967,                0.97921,                0.94594,                0.98073,                0.84873,                0.58331,                0.29312,                 1.0401,               0.006139,               0.006139,               0.006139
                    119,                 0.4978,                0.47096,                  1.003,                0.98142,                 0.9461,                0.98001,                0.84959,                0.58623,                 0.2925,                 1.0356,               0.006106,               0.006106,               0.006106
                    120,                0.49841,                0.46766,                 1.0023,                0.98719,                0.94549,                0.98318,                0.84772,                0.60127,                0.28377,                 1.0502,               0.006073,               0.006073,               0.006073
                    121,                0.48908,                0.45162,                 1.0006,                0.99134,                0.95063,                0.98005,                0.84961,                0.58576,                0.28235,                 1.0487,                0.00604,                0.00604,                0.00604
                    122,                0.49669,                0.46712,                0.99961,                0.98375,                0.94634,                0.97883,                0.84904,                0.59249,                0.28165,                 1.0373,               0.006007,               0.006007,               0.006007
                    123,                 0.4879,                0.45673,                0.99865,                0.98317,                0.95715,                0.98015,                0.84939,                0.58983,                 0.2901,                 1.0341,               0.005974,               0.005974,               0.005974
                    124,                0.48434,                0.44838,                0.99378,                0.97917,                0.94508,                0.98094,                0.84902,                0.58057,                0.29233,                 1.0181,               0.005941,               0.005941,               0.005941
                    125,                0.49031,                0.44548,                0.99401,                0.98141,                0.95369,                0.98173,                0.85735,                0.57533,                0.27512,                 1.0182,               0.005908,               0.005908,               0.005908
                    126,                0.48498,                0.44494,                0.99088,                0.95971,                0.95478,                0.97548,                 0.8496,                0.57603,                 0.2918,                 1.0155,               0.005875,               0.005875,               0.005875
